Stream,Quadrat,Species ,Species richness,,,,,,,,,
Mossom Creek,0,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,0,n_little_prince_pine,1,,,,,,,,,
Mossom Creek,0,n_salmonberry,1,,,,,,,,,
Mossom Creek,0,n_salmonberry,1,,,,,,,,,
Mossom Creek,0,"n_osoberry, n_salmonberry",2,,,,,,,,,
Mossom Creek,0,0,0,,,,,,,,,
Mossom Creek,0,0,0,,,,,,,,,
Mossom Creek,0,0,0,,,,,,,,,
Mossom Creek,0,n_sword_fern,1,,,,,,,,,
Mossom Creek,0,n_sword_fern,1,,,,,,,,,
Mossom Creek,2.5,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,2.5,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,2.5,v_yellow_archangel,1,,,,,,,,,
Mossom Creek,2.5,"n_salmonberry, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,2.5,"n_salmonberry, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,2.5,"v_yellow_archangel, v_english_ivy",2,,,,,,,,,
Mossom Creek,2.5,"v_yellow_archangel, v_english_ivy, n_brittle_cinder",3,,,,,,,,,
Mossom Creek,2.5,"n_sword_fern, v_english_ivy",2,,,,,,,,,
Mossom Creek,2.5,"n_herb_robert, v_english_ivy",2,,,,,,,,,
Mossom Creek,2.5,"n_herb_robert, n_youth_on_age",2,,,,,,,,,
Mossom Creek,5,"v_periwinkle, n_salmonberry, i_daffodil, v_yellow_archangel, v_english_ivy",5,,,,,,,,,
Mossom Creek,5,"n_osoberry, n_salmonberry, v_yellow_archangel, v_english_ivy",4,,,,,,,,,
Mossom Creek,5,"n_osoberry, v_yellow_archangel, v_english_ivy, n_licorice_fern",4,,,,,,,,,
Mossom Creek,5,"n_osoberry, v_english_ivy",2,,,,,,,,,
Mossom Creek,5,"n_osoberry, v_yellow_archangel, v_english_ivy",3,,,,,,,,,
Mossom Creek,5,"i_daffodil, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,5,"v_periwinkle, n_salmonberry, i_daffodil, v_yellow_archangel",4,,,,,,,,,
Mossom Creek,5,"n_salmonberry, v_yellow_archangel",2,,,,,,,,,
Mossom Creek,5,"v_yellow_archangel, n_youth_on_age",2,,,,,,,,,
Mossom Creek,5,"u_sedge, n_salmonberry, v_yellow_archangel, n_youth_on_age",4,,,,,,,,,
Noons Creek,0,"n_sword_fern, v_blackberry",2,,,,,,,,,
Noons Creek,0,"n_sword_fern, v_blackberry",2,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,n_osoberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,0,"n_osoberry, v_blackberry",2,,,,,,,,,
Noons Creek,0,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,n_sword_fern,1,,,,,,,,,
Noons Creek,2.5,n_sword_fern,1,,,,,,,,,
Noons Creek,2.5,n_sword_fern,1,,,,,,,,,
Noons Creek,2.5,"n_osoberry, n_sword_fern",2,,,,,,,,,
Noons Creek,2.5,0,0,,,,,,,,,
Noons Creek,2.5,u_groundcover,1,,,,,,,,,
Noons Creek,2.5,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,v_blackberry,1,,,,,,,,,
Noons Creek,2.5,"n_osoberry, v_blackberry",2,,,,,,,,,
Noons Creek,5,u_groundcover,1,,,,,,,,,
Noons Creek,5,"n_osoberry, i_creeping_buttercup, v_blackberry",3,,,,,,,,,
Noons Creek,5,v_blackberry,1,,,,,,,,,
Noons Creek,5,"u_groundcover, n_osoberry",2,,,,,,,,,
Noons Creek,5,u_sedge,1,,,,,,,,,
Noons Creek,5,0,0,,,,,,,,,
Noons Creek,5,0,0,,,,,,,,,
Noons Creek,5,0,0,,,,,,,,,
Noons Creek,5,0,0,,,,,,,,,
Noons Creek,5,i_creeping_buttercup,1,,,,,,,,,
Rodgers Creek,0,n_red_huckleberry,1,,,,,,,,,
Rodgers Creek,0,"i_wall_lettuce, n_salal, v_trailing_blackberry",3,,,,,,,,,
Rodgers Creek,0,n_salal,1,,,,,,,,,
Rodgers Creek,0,"n_salal, v_trailing_blackberry",2,,,,,,,,,
Rodgers Creek,0,"n_salal, v_trailing_blackberry",2,,,,,,,,,
Rodgers Creek,0,0,0,,,,,,,,,
Rodgers Creek,0,n_red_huckleberry,1,,,,,,,,,
Rodgers Creek,0,0,0,,,,,,,,,
Rodgers Creek,0,n_sword_fern,1,,,,,,,,,
Rodgers Creek,0,n_salal,1,,,,,,,,,
Rodgers Creek,2.5,n_salal,1,,,,,,,,,
Rodgers Creek,2.5,"n_red_huckleberry, n_spreading_wood_fern",2,,,,,,,,,
Rodgers Creek,2.5,"n_salal, n_red_huckleberry",2,,,,,,,,,
Rodgers Creek,2.5,"n_salal, n_red_huckleberry",2,,,,,,,,,
Rodgers Creek,2.5,"n_sword_fern, v_trailing_blackberry",2,,,,,,,,,
Rodgers Creek,2.5,"n_salal, v_trailing_blackberry",2,,,,,,,,,
Rodgers Creek,2.5,"v_english_holly, n_sword_fern, n_salal, v_trailing_blackberry",4,,,,,,,,,
Rodgers Creek,2.5,"n_salal, v_trailing_blackberry",2,,,,,,,,,
Rodgers Creek,2.5,"v_english_ivy, n_salal, v_trailing_blackberry",3,,,,,,,,,
Rodgers Creek,2.5,"v_spurge_laurel, n_sword_fern, v_english_ivy, n_salal",4,,,,,,,,,
Rodgers Creek,5,"n_salal, n_red_huckleberry, v_trailing_blackberry",3,,,,,,,,,
Rodgers Creek,5,"n_salal, n_red_huckleberry",2,,,,,,,,,
Rodgers Creek,5,"n_sword_fern, n_salal",2,,,,,,,,,
Rodgers Creek,5,"v_english_ivy, n_salal",2,,,,,,,,,
Rodgers Creek,5,"n_sword_fern, n_salal, v_trailing_blackberry",3,,,,,,,,,
Rodgers Creek,5,"n_salal, n_red_huckleberry, v_trailing_blackberry",3,,,,,,,,,
Rodgers Creek,5,"n_salal, n_red_huckleberry, v_trailing_blackberry",3,,,,,,,,,
Rodgers Creek,5,"n_sword_fern, n_salal, n_red_huckleberry",3,,,,,,,,,
Rodgers Creek,5,n_red_huckleberry,1,,,,,,,,,
Rodgers Creek,5,v_trailing_blackberry,1,,,,,,,,,
Hoy Creek,0,0,0,,,,,,,,,
Hoy Creek,0,0,0,,,,,,,,,
Hoy Creek,0,0,0,,,,,,,,,
Hoy Creek,0,0,0,,,,,,,,,
Hoy Creek,0,0,0,,,,,,,,,
Hoy Creek,0,0,0,,,,,,,,,
Hoy Creek,0,n_osoberry,1,,,,,,,,,
Hoy Creek,0,"v_cherry_laurel, n_osoberry",2,,,,,,,,,
Hoy Creek,0,"n_osoberry, n_salmonberry",2,,,,,,,,,
Hoy Creek,0,n_osoberry,1,,,,,,,,,
Hoy Creek,2.5,0,0,,,,,,,,,
Hoy Creek,2.5,v_english_holly,1,,,,,,,,,
Hoy Creek,2.5,v_english_holly,1,,,,,,,,,
Hoy Creek,2.5,0,0,,,,,,,,,
Hoy Creek,2.5,n_osoberry,1,,,,,,,,,
Hoy Creek,2.5,0,0,,,,,,,,,
Hoy Creek,2.5,0,0,,,,,,,,,
Hoy Creek,2.5,0,0,,,,,,,,,
Hoy Creek,2.5,0,0,,,,,,,,,
Hoy Creek,2.5,v_cherry_laurel,1,,,,,,,,,
Hoy Creek,5,v_english_holly,1,,,,,,,,,
Hoy Creek,5,0,0,,,,,,,,,
Hoy Creek,5,0,0,,,,,,,,,
Hoy Creek,5,u_groundcover,1,,,,,,,,,
Hoy Creek,5,0,0,,,,,,,,,
Hoy Creek,5,0,0,,,,,,,,,
Hoy Creek,5,0,0,,,,,,,,,
Hoy Creek,5,i_stinging_nettle,1,,,,,,,,,
Hoy Creek,5,0,0,,,,,,,,,
Hoy Creek,5,0,0,,,,,,,,,
Stoney Creek,0,n_sword_fern,1,,,,,,,,,
Stoney Creek,0,n_sword_fern,1,,,,,,,,,
Stoney Creek,0,v_cherry_laurel,1,,,,,,,,,
Stoney Creek,0,v_cherry_laurel,1,,,,,,,,,
Stoney Creek,0,0,0,,,,,,,,,
Stoney Creek,0,"v_cherry_laurel, n_sword_fern, i_wall_lettuce, n_herb_robert",4,,,,,,,,,
Stoney Creek,0,"n_bladder_fern, u_watercress, n_herb_robert",3,,,,,,,,,
Stoney Creek,0,n_sword_fern,1,,,,,,,,,
Stoney Creek,0,n_sword_fern,1,,,,,,,,,
Stoney Creek,0,n_sword_fern,1,,,,,,,,,
Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,
Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,
Stoney Creek,2.5,0,0,,,,,,,,,
Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,
Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,
Stoney Creek,2.5,0,0,,,,,,,,,
Stoney Creek,2.5,n_sword_fern,1,,,,,,,,,
Stoney Creek,2.5,"v_cherry_laurel, i_nipple_wort, n_bladder_wort",3,,,,,,,,,
Stoney Creek,2.5,"n_osoberry, n_bladder_fern, n_sword_fern",3,,,,,,,,,
Stoney Creek,2.5,"n_osoberry, i_nipple_wort",2,,,,,,,,,
Stoney Creek,5,"i_creeping_buttercup, n_bladder_fern",2,,,,,,,,,
Stoney Creek,5,i_creeping_buttercup,1,,,,,,,,,
Stoney Creek,5,i_creeping_buttercup,1,,,,,,,,,
Stoney Creek,5,0,0,,,,,,,,,
Stoney Creek,5,"v_cherry_laurel, n_osoberry",2,,,,,,,,,
Stoney Creek,5,"i_creeping_buttercup, i_dandelion, i_wall_lettuce",3,,,,,,,,,
Stoney Creek,5,n_sword_fern,1,,,,,,,,,
Stoney Creek,5,"n_catch_weed_bedstraw, i_dandelion",2,,,,,,,,,
Stoney Creek,5,n_sword_fern,1,,,,,,,,,
Stoney Creek,5,"v_cherry_laurel, n_sword_fern, i_dandelion",3,,,,,,,,,
Eagle Creek,0,"v_spurge_laurel, n_osoberry, i_creeping_buttercup",3,,,,,,,,,
Eagle Creek,0,0,0,,,,,,,,,
Eagle Creek,0,"v_english_holly, v_spurge_laurel, i_wall_lettuce, n_herb_robert",4,,,,,,,,,
Eagle Creek,0,v_spurge_laurel,1,,,,,,,,,
Eagle Creek,0,n_herb_robert,1,,,,,,,,,
Eagle Creek,0,"u_woody, n_sword_fern, i_wall_lettuce, u_watercress",4,,,,,,,,,
Eagle Creek,0,"u_sedge, i_foxglove, i_wall_lettuce, n_herb_robert",4,,,,,,,,,
Eagle Creek,0,"u_woodrush, i_foxglove, i_wall_lettuce",3,,,,,,,,,
Eagle Creek,0,"v_english_holly, u_woodrush, i_foxglove, n_herb_robert",4,,,,,,,,,
Eagle Creek,0,"u_woodrush, i_foxglove, i_wall_lettuce",3,,,,,,,,,
Eagle Creek,2.5,"n_twinflower, n_herb_robert",2,,,,,,,,,
Eagle Creek,2.5,"n_twinflower, n_herb_robert",2,,,,,,,,,
Eagle Creek,2.5,0,0,,,,,,,,,
Eagle Creek,2.5,n_herb_robert,1,,,,,,,,,
Eagle Creek,2.5,0,0,,,,,,,,,
Eagle Creek,2.5,"i_foxglove, n_herb_robert",2,,,,,,,,,
Eagle Creek,2.5,"u_watercress, n_herb_robert",2,,,,,,,,,
Eagle Creek,2.5,"v_periwinkle, i_creeping_buttercup, n_sword_fern",3,,,,,,,,,
Eagle Creek,2.5,i_creeping_buttercup,1,,,,,,,,,
Eagle Creek,2.5,"n_osoberry, i_creeping_buttercup, n_sword_fern, n_herb_robert",4,,,,,,,,,
Eagle Creek,5,"i_foxglove, n_herb_robert",2,,,,,,,,,
Eagle Creek,5,"u_watercress, n_herb_robert",2,,,,,,,,,
Eagle Creek,5,n_herb_robert,1,,,,,,,,,
Eagle Creek,5,0,0,,,,,,,,,
Eagle Creek,5,0,0,,,,,,,,,
Eagle Creek,5,"i_wall_lettuce, u_watercress, n_herb_robert",3,,,,,,,,,
Eagle Creek,5,"n_sword_fern, i_wall_lettuce, u_watercress, n_herb_robert",4,,,,,,,,,
Eagle Creek,5,"i_wall_lettuce, n_herb_robert",2,,,,,,,,,
Eagle Creek,5,"i_wall_lettuce, u_watercress, n_herb_robert",3,,,,,,,,,
Eagle Creek,5,n_herb_robert,1,,,,,,,,,
